videoId,Title,UploadDate,VideoType,Duration,DurationInS,ViewCount,LikeCount,CommentCount
U1hXlROhOws,"We found out the highest rank in the new Rocket League SEASON 2 placements",2020-12-16,Long Form,11M31S,undefined,1318494,49471,2078
O4BN77Ti7aA,"I made Rocket League players INVISIBLE (but didn't tell them)",2020-12-10,Long Form,14M21S,undefined,3566704,105186,2991
GlqUwB3hxII,"I disguised a Rocket League pro as a bot in a tournament. Will anyone notice?",2020-12-04,Long Form,10M25S,undefined,4658679,103843,3753
qD5lTnc0wWE,"I asked you to send me your best Rocket League talent but didn't expect this...",2020-11-27,Long Form,22M,undefined,2689690,93548,3823
jtljJXO0DVE,"I challenged Musty in Rocket League but I used your ideas",2020-11-20,Long Form,11M15S,undefined,2038201,66954,1947
EFIEgcNyXq4,"The top 20 Rocket League players in the world (2020)",2020-11-14,Long Form,12M2S,undefined,1915395,70283,5150
HavuY7Cy33Q,"How to make Rocket League players mad just by playing the game",2020-11-07,Long Form,14M10S,undefined,2507557,74748,3701
cT5QNGDHKVA,"I played in every single Rocket League server (EXTREME LAG CHALLENGE)",2020-10-31,Long Form,15M36S,undefined,2364584,64566,4731
2K0y9ihfbWI,"I hired e-girls in Rocket League and then pitted them against each other",2020-10-24,Long Form,19M3S,undefined,3329004,91632,3122
eUrio5coUgc,"Someone made Rocket League in Minecraft, so I tested it out",2020-10-19,Long Form,8M38S,undefined,1937074,65294,2071
LoW-x9duJow,"I made it IMPOSSIBLE to score in Rocket League and bet PROS $100",2020-10-15,Long Form,10M58S,undefined,7985858,157850,4236
QUl-DomkQvI,"The 3 BIGGEST Rocket Leaguers (new team)",2020-10-10,Long Form,11M6S,undefined,1031237,46578,1996
zemBQPMYgO4,"Things all the new Rocket League players will learn soon (Recording Toxic Players 3)",2020-10-03,Long Form,11M36S,undefined,3558054,100052,4693
bkXhiDzdjVE,"1 Pro vs 7 Fake Grand Champions (craziest showmatch ever)",2020-09-26,Long Form,13M9S,undefined,4396326,103098,3502
VfiNVIBx4nc,"Professional Drunk Rocket League",2020-09-18,Long Form,12M17S,undefined,1579424,56607,2519
zSaEe611gao,"I went UNDERCOVER in Rocket League",2020-09-10,Long Form,10M21S,undefined,1069584,40576,1999
lNi_BtCkItY,"We trained two silver players for weeks, then made them 1v1 to see who improved more",2020-08-28,Long Form,17M,undefined,9920621,207381,6631
OzGV4kL-xzQ,"One of the top 1v1 players in the WORLD vs AIMBOT (grudge match)",2020-08-22,Long Form,11M54S,undefined,2129383,65243,2333
QDf0DI8iN88,"Expensive Car vs Cheap Car: Can Expert Traders tell the Difference?",2020-08-17,Long Form,12M54S,undefined,2600157,75304,2263
44TEhaVJplA,"Learning 10 Rocket League mechanics from EASY to IMPOSSIBLE again",2020-08-12,Long Form,10M43S,undefined,2852445,98871,3857
